timestamp,temperature,humidity,wind_speed,pressure,pm25,pm10,co,no2,o3,aqi,hour,day,month,day_of_week,previous_aqi,aqi_lag_3,aqi_lag_6,aqi_lag_12,rolling_avg_3,rolling_avg_6,aqi_change,future_aqi
2026-02-09 07:00:00,25.4,53.759243,15.661035,1014.2871,31.2,67.5,196.0,6.0,100.0,45.0,7,9,2,0,46.8,49.37,38.72,37.92,46.4,46.275,-1.7999999999999972,43.88
2026-02-09 08:00:00,25.55,53.282288,16.036171,1013.48846,28.4,64.3,221.0,4.5,106.0,43.64,8,9,2,0,45.0,47.4,41.3,37.02,45.14666666666667,46.665,-1.3599999999999994,40.84
2026-02-09 09:00:00,25.65,52.123352,16.248924,1012.4895,26.2,60.3,254.0,4.2,107.0,41.84,9,9,2,0,43.64,46.8,47.78,36.73,43.49333333333334,45.675000000000004,-1.7999999999999972,39.18
2026-02-09 10:00:00,25.35,53.40256,15.905319,1011.78906,24.7,58.2,263.0,4.0,104.0,40.19,10,9,2,0,41.84,45.0,49.37,37.68,41.89000000000001,44.145,-1.6500000000000057,38.57
2026-02-09 11:00:00,24.85,56.991436,15.151039,1011.7879,24.4,58.0,281.0,4.8,97.0,39.07,11,9,2,0,40.19,43.64,47.4,37.45,40.36666666666667,42.75666666666667,-1.1199999999999974,38.0
2026-02-09 12:00:00,24.35,61.402637,14.120538,1011.7863,23.9,57.6,317.0,8.1,87.0,37.74,12,9,2,0,39.07,41.84,46.8,39.14,39.0,41.24666666666666,-1.3299999999999983,42.45
2026-02-09 13:00:00,23.45,68.62195,12.74954,1012.0838,25.8,57.0,397.0,15.7,75.0,37.9,13,9,2,0,37.74,40.19,45.0,38.72,38.236666666666665,40.06333333333333,0.1599999999999966,48.95
2026-02-09 14:00:00,22.6,74.08986,10.9859,1012.38104,28.9,53.9,495.0,26.1,59.0,38.0,14,9,2,0,37.9,39.07,43.64,41.3,37.88,39.123333333333335,0.10000000000000142,57.7
2026-02-09 15:00:00,22.25,77.610886,10.315115,1013.0795,30.9,56.0,554.0,32.7,48.0,38.76,15,9,2,0,38.0,37.74,41.84,47.78,38.22,38.61,0.759999999999998,58.35
2026-02-09 16:00:00,22.1,79.5611,11.886816,1013.379,31.4,56.2,537.0,32.2,48.0,38.97,16,9,2,0,38.76,37.9,40.19,49.37,38.57666666666666,38.406666666666666,0.21000000000000085,60.84
